Unique ID,Agency,Chapter or Office Name,Office Type,Office Type 2,LongName,Website,Phone Number Advertise Google,Hours of Operation,Main Contact,Contact Email,CSC/CM First Name,CSC/CM Last Name,AMS First Name,AMS Last Name,IT Contact,IT Email,IT Phone,PO Box,Address,City,State,ZIP,Latitude,Longitude,Elevation,Plus Code,Google Maps,GPS Source,Phone 1,Phone 2,NN Branch,Division,Driving Directions,Office Number/Location,Building Name/None,Chapter LGA,In-House IT,3rd Party IT,Emergency Response Team,Survey Conducted by,Survey Date,Title,Email,Surveyor Phone,Acknowledged by,Contact Title,Section2,Internet Provider,Internet Speed Contract (down),Internet Speed Contract (up),Internet Speed Contract (original), Internet MRC* , Cost /mb contract , Cost/mb tested ,Survey/Comments,Media,My IP Address,Internet Speed Test Trial 1 (down),Internet Speed Test Trial 1 (up),Tested To,Internet Speed Test Trial 2 (down),Internet Speed Test Trial 2 (up),Tested to2,Internet Speed Test Trial 3 (down),Internet Speed Test Trial 3 (up),Average Trial DL,Average Trial UL,Tested to3,Trace route to navajo-nsn.gov,Trace route to www.google.com,Trace route to www.nnoc.org,Phone Provider,Phone Lines Qty, Phone MRC* , Average MRC per line , Survey/ Comments ,Phone Media,VoIP,# of Trunks,VoIP MRC*,VoIP Media,Two Way Radio,Model,Purpose,Fiber Optic,Comments  Fiber Optics,Cellular Service Available,Operators,Emergency Call,Media Emergency ,Who is receiving the call?,Comments Network Services,Section3,Existing Network Cabling,Number of Network Drops,Comments Net Cabling,Routers,Routers Qty,Comments Routers,Switches,Switches Qty,Comments Switches,Firewall,Firewall Qty,Comments Firewall,Wi-Fi APs,AP Qty,Public Wi-Fi,Computers,Computers Qty,Public Access Wi-Fi,Comments Computers,Printers,Qty,Public Access Computers,Comments PC printers,Faxes,Fax Lines Qty,Servers,ServerQty,Purpose/ Comments Server,UPS,UPS Qty,Purpose/ Comments UPS,Others,Others Qty,Purpose/ Comments Others,Email Provider,Email Comments,Web Browsing Provider,Web Comments,Cloud Storage,Cloud Comments,Data Base Provider,DB Comments,Service Desk Provider,Telecom and IT Comments,Section 4 - Site Plan,IT Room layout,Fiber Demark,Telecommunications/radio/cellular towers within sight of your building,Does DCD/NNAA have address point for this building?,CAD Drawing or Sketch available and provided to the surveyor,Section 5 Picture Key,Building Front Pic,Building Side Pic,Building Entrance Pic,IT Room Pic,Reception Area/Desk Pic,Telco Services Demarcation Pic,Telco Services Entry Port Pic,Fiber Optic Entry Pic,"Wireless Antennas (Microwave, Cellular, Satellite)  Pic",Router/Telecom Rack Pic,Printers Pic,Wi-Fi Access Points Pic,List of additional (Others),Short Video Clip of the Facilities,Section 6 - Entities,Navajo Head start,Office of Dine Youth,Regional Business Development Office,Navajo Department of Workforce Development,Navajo Department of Veterans Affairs,Office of Labor Relations,Navajo Office of Vital Records,Department of Child Support Enforcement,Community Health Representative/Outreach Program (CHR),Department of Behavioral Health (DBH),Food Distribution Program,Navajo Area Agency on Aging (NAAA),New Dawn Program,Office of Environmental Health & Code Enforcement,Special Diabetes Project,Child Care Development Fund (CCDF),Department of Self Reliance,Department of Family Services,Facilities Maintenance Department,Fleet Management Department,Abandoned Mine Lands Reclamation (AML),Agriculture Department,Land Department,I H S,Senior Citizens Center,Convenience Store ,Commercial Outlets,Multi-purpose Complex,Feed/Tack Store,Solid Waste Transfer Station,Museum,Community Cemetery,Clinic,NTUA Wireless Store/Office,NTUA Regional Office,Cellular One Store,Other Telecommunication Store,Libraries,Churches,School,List of additional (Others) Entities,Fish & Wildlife,Water Resources,Election Administration,Judicial District Courts,Police Districts,Office of Navajo Scholarship & Financial Assistance,Administrative Service Center,Emergency Medical Services,Day Care Centers,DCD/ASC Office,Navajo Department of Transportation,Navajo Water & Sanitation,Navajo Water Development,Criminal Investigations Office,Capital Projects Management Office,Housing Improvement Program,Parks & Recreation,List of additional (Others) 2,Lat,Long
37,Chinle,Rough Rock,Chapter House,Chapter House,Rough Rock_Chapter House,,(928) 728-3361,,Coleen Dick,roughrock@navajochapters.com,Sheila,"King, CSC",(Vacant),,DCD,,928-871-7182,PO Box 4344,"Indian Rte 8066, Rough Rock, AZ",Chinle,AZ,86503,36 24 43.45 N,109 51 40.7 W,6229,858GC46Q+RF,"https://www.google.com/maps/place/Navajo+Rough+Rock+Chapter+House/@36.4120381,-109.8635046,17z/data=!3m1!4b1!4m5!3m4!1s0x873a9d4246f5ed5b:0x30f4fa3eb8708894!8m2!3d36.4120338!4d-109.8613159?hl=en",AMC Survey,(928) 728-3361,(928) 728-3363,Executive,Community Development,2 miles west of hwy 59,928-728-3361,Rough Rock Chapter House,No,Yes,No,No,"Frank Burnside Jr, Roger Davis II",23/01/2018,Information Tech,"frankburnsidejr@navajonsn.gov, rdavis@navajo-nsn.gov",928-871-6951,Rachel Harvey,,,Frontier,10,3,1.00/7.63 mbps,$99.00 ,$9.90 ,$12.89 ,AMC phone survey,,,7.55,1,,7.81,1.01,,,,7.68,1.01,,11,30,,Frontier,3,$120.00 ,$40.00 , AMC phone survey ,Copper,,,,,No,,,,,Yes,"Verizon, AT&T, T-Mobile, CellularOne",no,,,,,Yes,4,,Yes,1,,Yes,1,,no,,,Yes,1,no,Yes,3,no,,Yes,2,no,,Yes ,1,No,,,no,,,,,,DCD,,Frontier,,None,,none,,DCD,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,,N,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.412035,-109.861317
39,Chinle,Round Rock,Chapter House,Chapter House,Round Rock_Chapter House," 
roundrock.navajochapters.org",(928) 787-2510,8AM–5PM,Mary John,roundrock@navajochapters.org,Gayla,"James, CSC",Mary L.,"John, AMS",NN Community Development,,,PO Box 10,Indian Rte 12 & US-191,Round Rock,AZ,86547,36 30 28.8 N,109 28 6.0 W,5389.1,858GGG5J+6M,"https://www.google.com/maps/place/Round+Rock+Chapter+House/@36.5079791,-109.470573,17z/data=!3m1!4b1!4m5!3m4!1s0x873a7a1c648e004d:0x59d32d426a4716d3!8m2!3d36.5079748!4d-109.4683843?hl=en",CT Survey,(928) 787-2510,(928) 787-2511,Executive,Community Development,1/4 MILE EAST OF JUNCTION HWY 491,,,No,no,no,,team 7,23/11/2017,PIST,,928-871-6520,Mary L. John,Account Maintenance Specialist,,NTUA Wireless,5,1,3.21 mbps,$94.00 ,$18.80 ,  ,,,,3.21,,,,,,,,,,,,,,Frontier,3,$270.00 ,$90.00 ,,,None,,,,No,,,,,Yes,NTUAW/CellularOne,,,,,,Yes,5,,Yes,,,No,,,no,,,Yes,,,Yes,3,no,,Yes,2,,,Yes,1,No,,,no,,,,,,Navajo nation,roundrock@navajochapters.orf,"Edge, IE, Chrome",,None,,None,,None,,,,,,,,,Y,N,N,Y,N,Y,N,N,Y,Y,N,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.507977,-109.468384
43,Chinle,Tsaile/Wheatfields,Chapter House,Chapter House,Tsaile/Wheatfields Chapter_Chapter House,tsaile.navajochapters.org,(928) 724-2220,8AM–5PM,Paula Begay,paula@navajochapters.org,Paula S.,"Begay, CSC",Darice,"Newman, AMS",Sylvia Jordan/ Norbert Nez,,,PO Box C18,Indian Rte 12 & C-144,Tsaile,AZ,86556,36 14 13.76 N,109 07 36.17 W,7301.5,858G6VPF+V8,"https://www.google.com/maps/place/Navajo+Nation+Tsaile%2FWheatfields+Chapter/@36.2371529,-109.1288864,17z/data=!3m1!4b1!4m5!3m4!1s0x873a8c982ca4d585:0x5bbf627271ae2c60!8m2!3d36.2371486!4d-109.1266977?hl=en",AMC Survey,(928) 724-2220,,Executive,Community Development,8 miles East pf Tsaile Jct route 12,,,No,no,no,no,Ferle Belingachee,16/11/2017,Sr. Information System Technician,fbelingachee@navajo-nsn.gov,928-871-6556,Paula S. Begay,Community Service Coordinator,,Frontier,,,,$94.00 ,  ,"$1,484.21 ",AMC phone survey,,50.133.201,0.19,0,Rio Rancho NM,0,0,Durango CO,0,0,0.06,0,Taos NM,30,18,30,Frontier,2,$200.00 ,$100.00 , AMC phone survey ,,None,,,,No,,,,,Yes,T-Mobile,Yes,wireline,,Internet works better during Non-working hours,,Yes,3,includes DSL,no,,,No,,,no,,,Yes,1,Yes,Yes,4,Yes,1 public use,Yes ,Yes,Yes,,Yes,1,No,,,Yes,3,,,,,"navajochapter.org, yahoo, Gmail",,"Firefox, Chrome, Internet explorer",,None,"use storage devices, dropbox enabled on PC",MIP Software,requires internet connectivity,IT WR,Sylvia and Norbert,,no,no,Yes,,,,Y,N,N,N,N,N,N,N,Y,Y,N,N,FLOOR PLAN,N,,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,"Farm board dine water user Assoc, Community land use planning committee",,,,,,,,,,,,,,,,,,,36.23715,-109.126697
44,Chinle,Tselani/Cottonwood,Chapter House,Chapter House,Tselani/Cottonwood Chapter_Chapter House,,,,Nilerita Tso,nell.tso@navajochapters.org,Charlene,"Wallace, CSC",Lauretta,"Tulley, AMS",Benson Mitchell,tcengineeringtech@gmail.com,,PO Box 1139,"Indian Rte 4, Blue Gap, AZ",Chinle,AZ,86503,36 04 12.96 N,109 53 20.42 W,6070.5,858G34C6+49,"https://www.google.com/maps/place/36°04'10.9%22N+109°53'17.2%22W/@36.0715344,-109.8915931,15.17z/data=!4m5!3m4!1s0x0:0x0!8m2!3d36.069701!4d-109.888108?hl=en",AMC Survey,(928) 725-3765,(928) 725-3766,Executive,Community Development,,,,No,no,Yes,no,Ferle Belingachee,16/11/2017,Sr. Information System Technician,fbelingachee@navajo-nsn.gov,928-871-6556,,,,Frontier,5,1,DSL,$75.00 ,$15.00 ,$17.33 ,"$50-90, AMC phone survey",,74.40.143.219,5.81,1,Rio Rancho NM,5.32,0.95,Montrose CO,1.85,1,4.33,0.98,Taos NM,30,17,30,Frontier,3,$500.00 ,$166.67 ,,,None,,,,Yes,,Basic Communication,,,Yes,NTUAW/CellularOne,,,,,,Yes,4,includes DSL,Yes,2,,No,,,Yes,1,built-in router; PC'S,Yes,1,Yes,Yes,5,Yes,1 public use; 1 tablet; 5 desktops,Yes ,3,no,1 networked and 1 stand alone,Yes,1,No,,,Yes,5,,,,,navajochapter.org,Gmail,"Mozilla, Firefox, internet explorer, chrome",,Google Drive,,RGIS,,Benson Mitchell,Consultant,,no,no,Yes,,,,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.069701,-109.888108
45,Chinle,Whippoorwill,Chapter House,Chapter House,Whippoorwill_Chapter House,,(928) 725-3728,"8AM–12PM, 1–5PM",Emerson G. Begay,egbegay@navajochapters.org,Emerson G.,"Begay, CM",Rosabelle,"Charley, AA",emersin G. Begay,,928-309-7559,PO Box 279,"Indian Rte 65, Whippoorwill Spring",Pinon,AZ,86510,36 1 42.93 N,110 04 51.01 W,6224.1,858F2WH9+CM,"https://www.google.com/maps/place/Whippoorwill+Chapter+House/@36.0273216,-110.083088,14.22z/data=!4m5!3m4!1s0x8730457a7448d97b:0x7f667418ad1eb231!8m2!3d36.0285988!4d-110.0809502?hl=en",CT Survey,(928) 725-3728,(928) 725-3727,Executive,Community Development,W N4 from SR191 to N65 South 2.0 Miles from N4/N65,,W002-004,Yes,Yes,No,No,Frank Burnside Jr,06/06/2018,Senior System Tech,frankburnsidejr@navajonsn.gov,928-871-6851,Emerson G. Begay,Manager,,Frontier,,,,,  ,  ,400 w/phone. No breakdown was given,Wireless,,,,,,                                                ,,,,,,,,,,Frontier,,,  ,,Wireless,,,,,No,,,No,,Yes,"NTUAW, CellularOne, NTUA choice",,,,"No computers, only use personal laptop when needed",,No,,,Yes,1,frontier wi-fi,no,,,no,,,Yes,,no,no,,no,we use personal laptops,,,,,Yes,1,,,,no,,,,,,Navajo Nation,none,nonw,nonw,None,,,,,problem with faxing out,,,,,,,,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,,N,,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.028601,-110.080951
48,Eastern,Alamo,Chapter House,Chapter House,Alamo_Chapter House,alamo.navajochapters.org,(575) 854-2686,8AM–5PM,Inez Apachito,,Inez,"Apachito, CSC",(Vacant),,,,,PO Box 827,"NM-169 & Indian Rte 28, Alamo",Magdalena,NM,87825,34 25 0.97 N,107 29 57.99 W,6129.6,856JCG82+Q6,"https://www.google.com/maps/place/Alamo+Chapter+House/@34.4169398,-107.5016321,17z/data=!3m1!4b1!4m5!3m4!1s0x87216e3445f25d41:0x71df70bb51714df!8m2!3d34.4169354!4d-107.4994434?hl=en",CT Survey,(575) 854-2686,(575) 854-2693,Executive,Community Development,CG82+Q6,,,No,no,no,,Teresa Hopkins,29/01/2018,Executive Director,,,Inez Apachito,CSC,,WNM Communications,10,1,10/1 DSL,$89.95 ,$9.00 ,$9.90 ,,"Copper, Fiber, Satellite, Wireless",192.119.43.149,9.28,0.8,,8.67,0.65,,9.3,0.7,9.08,0.72,,,,,Western New Mexico Communications,1,$42.79 ,$42.79 ,,Copper/Fiber/Wireless/Sat,None,,,,,,,,,Yes,NTUAW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.416938,-107.499444
49,Eastern,Baca/Prewitt,Chapter House,Chapter house,Baca/Prewitt_Chapter House,,,,Tina Becenti,baca@navajochapters.org,(Vacant),,Tina A.,"Becenti, AA",,,,PO Box 563,"Exit 63, Prewitt,  22 Pillow Crest Rd # A, Laguna, NM 87026",Prewitt,NM,87045,35 21 44.15 N,108 3 28.55 W,6879.3,857H9W6R+WR,"https://www.google.com/maps/place/Prewitt,+NM+87045/@35.3616371,-108.057406,392m/data=!3m1!1e3!4m5!3m4!1s0x87237d88719a455f:0xe92abe86cb2b73a9!8m2!3d35.3628248!4d-108.0439557",CT Survey,(505) 972-9917,,Executive,Community Development,9W6RTWR E40 EXIT 63,,,Yes,no,no,no,Teresa Hopkins,21/02/2018,Executive Director,mthopkins@navajo-nsn.gov,,,AMS,,Sacred Wind,,,,,  , $-   ,,"Copper, Coax, Fiber, Satellite",1.99E+11,6.07,0.66,,6.19,0.62,,,,6.13,0.64,,,,,Sacred Wind,2,, $-   ,,"Copper, Coax",None,,,,No,,,Yes,,Yes,Verizon AT&T Sprint,Yes,,,V2LTE (3 BARS),,No,,,no,,,No,,,no,,,Yes,,no,Yes,2,no,,Yes,3,no,,Yes,1,No,,,Yes,,,,,,,,,,,,,,,,,,,,,,,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,N,Main room,N,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.362338,-108.057926
50,Eastern,Becenti,Chapter House,Chapter House,Becenti_Chapter House,,,,"Christina Platero, AMS",becenti@navajochapters.org,Delores,"Becenti, CSC",Christine,"Platero, AMS",,,,Box 708,"Indian Rte 7009 Becenti, NM off SR-371",Crownpoint,NM,87313,35 48 52.4 N,108 09 55.4 W,6590.9,857HRR7M+RR,"https://www.google.com/maps/place/Becenti,+Crownpoint,+NM+87313/@35.8152099,-108.1841362,14z/data=!4m5!3m4!1s0x8724ac21e27ca231:0xe73e32afb8962783!8m2!3d35.8152117!4d-108.1666266?hl=en",CT Survey,(505) 786-2283,(505) 786-2284,Executive,Community Development,,,NM Pillow creek RD,No,No,Yes,,Tyler Capitan,07/12/2017,Information System Technician,tcapitan@navajo-nsn.gov,928-871-6001,Christina platero,AMS,,Frontier,,,,$100.00 ,  ,$410.96 ,AMC phone survey,,76.46.223.140,0.19,0,,0.29,0,,0.25,0,0.24,0,,4,10,15,Frontier,3,$275.00 ,$91.67 , AMC phone survey ,,,,,,No,,,,,no,no,no,,,,,Yes,1,"uplink, everything is wireless",no,,,no,,,,,,,,,Yes,2,no,,Yes,3,no,staff only if they bring thumb drive,Yes,1,,,,,,,,,,becenti@navajochapters.org,,N/A,,N/A,,N/A,,frontier tech support,,,no,,,,Yes,,Y,Y,Y,N,Y,N,N,N,Y,N,N,N,Evacuation plan,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.815217,-108.166626
51,Eastern,Breadsprings,Chapter House,Chapter House,Breadsprings_Chapter House,baahaali.navajochapters.org,(505) 778-5788,,gualena skeets,baahedi@navajochapters.org,Gloria,"Skeet deCruz, CM",Guarena M. A.,"Skeets, AA",Wild Blue/ Hughes Net,,,PO Box 6118,"190 Rodeo Rd A, Vanderwagen, NM 87326",Gallup,NM,87305,35 23 42.79 N,108 39 1.35 W,7322.8,857H98WX+3V,"https://www.google.com/maps/place/Bread+Springs+Chapter+House/@35.3951226,-108.6521522,17.33z/data=!4m5!3m4!1s0x8724e5cd85300943:0x19bfdbe6a8f4625!8m2!3d35.3951226!4d-108.6504115?hl=en",CT Survey,(505) 778-5796,"(505) 778-5788,5792",Executive,Community Development,,,,Yes,No,No,No,Thera tallsolt,13/02/2018,,,,,Administrative Assistant,,"Wild Blue, Hughes Net",,,,$75.00 ,  ,$9.23 ,AMC phone survey,"Copper, Satellite",6919.57.230,8.13,0.4,,,,,,,8.13,0.4,,,,,CenturyLink,3,$420.00 ,$140.00 , AMC phone survey ,Copper,,,,,No,,,No,,Yes,"AT&T, CellularOne",no,,,"Access bin onto debit form provider/month wb $97.46, HN $14.67",,Yes,5,,Yes,2,wild blue Hughes net,Yes,2,,no,,,Yes,1,no,Yes,4,,,Yes,4,Yes,,Yes,1,No,,,no,,,,,,navajochapters.org/yahoo,,Hughes net/ wild blue,,dropbox + google drive,,,,,,,,,,,,,Y,Y,Y,N,N,Y,N,N,N,Y,N,N,"SWITCH, evacuation plan",N,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.395128,-108.65041
53,Eastern,Casamero Lake,Chapter House,Chapter House,Casamero Lake_Chapter House,navajochapters.org,(505) 786-2457,8AM–5PM,Lena Calamity,littlewater@navajochapters.org,Clarita,"Etcitty, CM",Lena R.,"Calamity, AA",,,,PO Box 549,Co Rd 19 and Casamero Lake Loop Rd,Prewitt,NM,87045,35 30 20.19 N,108 01 59.39 W,7067.3,857HGX48+6P,"https://www.google.com/maps/place/Casamero+Lake+Chapter+House/@35.5055968,-108.0352841,17z/data=!3m1!4b1!4m5!3m4!1s0x87237d6aaaaaaaab:0x7eb038db1cb58827!8m2!3d35.5055925!4d-108.0330954?hl=en",AMC Survey,(505) 786-2457,,Executive,Community Development,8 miles southeast of little water chapter,,,Yes,No,Yes,,Tyler Capitan,08/12/2017,Information System Technician,tcapitan@navajo-nsn.gov,928-871-6001,,,,Frontier,5,1,DSL,$500.00 ,$100.00 ,"$3,260.87 ",500 total with phone costs. They didn’t know breakdown,Copper,74.42.21.3,0.2,0.09,,0.11,0.13,,0.15,0.11,0.15,0.11,,4,17,15,Frontier,,,  ,$500 total with internet. No breakdown was given,,,,,,,,,,,Yes,AT&T,,,,,,Yes,3,,no,,,Yes,1,switch hub 4 port,no,,,Yes,1,Yes,Yes,3,Yes,1 PC,Yes,2,,,Yes,1,No,,,Yes,2,tripplite,,,,navajochapter@org,,,,,,,,frontier for tech support,,,,Yes,,,,,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,"EVACUATION PLAN, MAIN ROOM",N,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.5056,-108.033091
54,Eastern,Chichiltah,Chapter House,Chapter House,Chichiltah_Chapter House,chichiltah.navajochapters.org,(505) 713-9994,8AM–5PM,Roselyn John,chichiltah@navajochapters.org,Roselyn,"John, CSC",Melita G.,"Martinez, AMS",Ej John,,505-713-9994,PO Box 1436,"New Jones Ranch Rd, Vanderwagen, NM 87326",Gallup,NM,87305,35 17 30.83 N,108 54 25.05 W,7005.6,857H73RV+Q6,"https://www.google.com/maps/place/Chichiltah+Chapter/@35.291931,-108.9102265,17z/data=!4m5!3m4!1s0x87251b609f01a1ef:0x6e8aff9f4b93d364!8m2!3d35.2919091!4d-108.9069644?hl=en",AMC Survey,(505) 713-9994,,Executive,Community Development,Community Development,,Chapter House/Office,No,Yes,No,No,,,,,,,,,"Southwest Communication Systems, Inc.",,,,,  , $-   ,,Wireless,,0.39,2.28,,0.39,3.01,,0.5,2.91,0.43,2.73,,5,6,5,CenturyLink,2,$250.00 ,$125.00 , AMC phone survey ,Copper,,,,,No,,,,,Yes,CellularOne,no,,,,,No,,,Yes,1,"Wi-Fi router/ Access Point, Leased from SCS Inc.",no,,,Yes,,Wi-Fi router standard firewall configured by SCS Inc.,Yes,1,Yes,Yes,7,Yes,"5 desktops, 1 laptop, 1 personal laptop",Yes,4,no,"3 desktop printer, 1 copy center",no,,No,,,no,,,,,,google,Navajo nation chapter email account,chrome,,N/A,N/A,N/A,N/A,N/A,N/A,,,Yes,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.291953,-108.906953
55,Eastern,Churchrock,Chapter House,Chapter House,Churchrock_Chapter House,churchrock.navajochapters.org,(505) 488-2166,8AM–5PM,Vera Marianito,churchrock@navajochapters.org,LaVera T.,"Morgan, CSC",Vera,"Marianito, AMS",,,,PO Box 549,57 Telstar Rd,Church Rock,NM,87311,35 31 59.34 N,108 35 52.44 W,6726.4,857HGCM2+7R,"https://www.google.com/maps/place/Churchrock+Chapter/@35.5330682,-108.6002837,17z/data=!3m1!4b1!4m5!3m4!1s0x8724c326ef249cef:0x36d31cbb25792420!8m2!3d35.5330639!4d-108.598095?hl=en",CT Survey,(505) 488-2166,,Executive,Community Development,,,,No,No,Yes,,Chris Yazzie,13/12/2017,NTN-IT,,505-726-3818,Vera Marianito,AMS,,Comcast-Xfinity,,,,,  , $-   ,,Coax,2603.3000.500.9e008.93.600b.58.4.8a34,47.23,13.76,,47.57,17.08,,45.9,13.66,46.9,14.83,,14,13,17,Comcast-Xfinity,1,, $-   ,,Copper,,,,,No,,,,,Yes,Various,Yes,wireline,Gallup,,,Yes,1,,Yes,,,no,,,Yes,,,Yes,1,,Yes,3,Yes,,Yes,2,no,,Yes,1,,,,,,,,,,Navajo nation,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,Y,N,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.533066,-108.598095
56,Eastern,Counselor,Chapter House,Chapter House,Counselor_Chapter House,counselor.navajochapters.org,(575) 568-4311,,Samuel Sage,,Samuel,"Sage, CSC",Martha A.,"Aragon, AMS",,,,PO Box 93,6828 Hwy 44 # 14,Counselor,NM,87018,36 12 52.46 N,107 27 57.77 W,6989.2,858J6G7M+RH,"https://www.google.com/maps/place/Counselor+Chapter/@36.2145749,-107.4682342,17z/data=!3m1!4b1!4m5!3m4!1s0x8722ca4d5dc2f4fb:0x325993c068a65162!8m2!3d36.2145706!4d-107.4660455?hl=en",CT Survey,(575) 568-4311,,Executive,Community Development,,,,No,No,No,No,Teresa H,08/05/2018,Executive Director/NNTRC ,,928-871-7854,Samuel CSC,,,Hughes Net,,,,,  ,  ,,Copper,174.32.88.27,,,,,,,,,,,,,1,18,Windstream,1,, $-   ,,Copper,,,,,No,,,Yes,in hwx550,Yes,"Verizon, AT&T, T-Mobile, Sprint, CellularOne",,,,,,Yes,,,,,,,,,,,,,,,Yes,3,Yes,,Yes,3,no,,Yes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,N,N,Y,N,N,Y,Y,Y,N,,N,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,36.214572,-107.466046
57,Eastern,Coyote Canyon,Chapter House,Chapter House,Coyote Canyon_Chapter House,,,,Shirleen Joe,coyotecanyon@navajochapters.org,,,,,,,,,P.O Box 257, Brimhall,NM,87310,35 46 29.94 N,108 37 7.68 W,6125.3,857HQ9FJ+XF,,CT Survey,,,Executive,Community Development,,,6516,No,Not reported,,,Tyler Capitan,22/02/2018,Office Specialist,,,,,,Frontier,10,3,DSL,$800.00 ,$80.00 ,$143.54 ,$800 total w/phone. No breakdown was given,Fiber,104.240.54.60,6.49,0.09,,4.61,0.86,,5.62,0.94,5.57,0.63,,4,11,3,Frontier,5,, $-   , $800 total w/internet. No breakdown was given ,Copper,None,,,,No,,,Yes,,Yes,"Verizon, CellularOne",no,,,CHR+Vets office  run off the same lines and frontier modem. They are all in the same building complex. Senior citizen center is being remodeled,,Yes,18,,Yes,1,DSL Modem,Yes,1,D-Link,no,,,Yes,,no,Yes,5,no,staff only,Yes,5,no,staff only,Yes,1,No,,,,,,,,,navajochapters.org,,,,,,,,,,,Yes,no,no,,,,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.77498333,-108.6188
60,Eastern,Crownpoint,Chapter House,Chapter House,Crownpoint_Chapter House,crownpoint.navajochapters.org,(505) 786-2130,8AM–5PM,Aaron Edsitty,crownpoint@navajochapters.org,Aaron,"Edsitty, CSC",Felicia A.,"John, AMS",,,,PO Box 336,Chapter House Drive,Crownpoint,NM,87313,35 41 4.10 N,108 8 45.66 W,6950.8,857HMVM3+QH,"https://www.google.com/maps/place/Crownpoint+Chapter+House/@35.6845631,-108.1465623,17z/data=!4m5!3m4!1s0x8724a42bab111ed7:0x7f250fdb940fca01!8m2!3d35.6844718!4d-108.1460169?hl=en",CT Survey,(505) 786-2130,(505) 786-2131,Executive,Community Development,MVM3+QH,,23001,No,no,no,Yes,Teresa H,16/05/2018,Executive Director,,,Aaron Edsitty,,,Frontier/NTUA,,,,$125.00 ,  ,$32.00 ,AMC phone survey,,50.38.133.144,5.19,0.44,,4.87,0.47,,1.66,0.41,3.91,0.44,,9,25,25,Frontier,,,  ,,"Copper, Coax, Fiber",None,,,,Yes,Motorola,,no,,Yes,"Verizon, T-Mobile, CellularOne",Yes,,call direct to PD ,,,Yes,,,Yes,1,NTU,,,,,,,,,,Yes,3,Yes,,Yes,3,Yes,,Yes,1,,,,Yes,3,,,,,,,,,,,,,,,,no,no,Yes,no,,,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,"Meeting hall, speed trial, fire scape.",,,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,,Yes,,Yes,,,Yes,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,35.684474,-108.146017
